name,location,sUrl
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
"1-2-3-4 Go! Records, LLC","
            Oakland,  CA,  United States    ",https://www.discogs.com/record-stores/store/1234gorecords/
